HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Name
42,52,67,39,56,50,Binacle
72,105,115,54,86,68,Barbaracle
50,60,60,60,60,30,Skrelp
65,75,90,97,123,44,Dragalge
50,53,62,58,63,44,Clauncher
71,73,88,120,89,59,Clawitzer
44,38,33,61,43,70,Helioptile
62,55,52,109,94,109,Heliolisk
58,89,77,45,45,48,Tyrunt
82,121,119,69,59,71,Tyrantrum
77,59,50,67,63,46,Amaura
123,77,72,99,92,58,Aurorus
95,65,65,110,130,60,Sylveon
78,92,75,74,63,118,Hawlucha
67,58,57,81,67,101,Dedenne
50,50,150,50,150,50,Carbink
45,50,35,55,75,40,Goomy
68,75,53,83,113,60,Sliggoo
90,100,70,110,150,80,Goodra
57,80,91,80,87,75,Klefki
43,70,48,50,60,38,Phantump
85,110,76,65,82,56,Trevenant
49,66,70,44,55,51,PumpkabooAverage Size
44,66,70,44,55,56,PumpkabooSmall Size
54,66,70,44,55,46,PumpkabooLarge Size
59,66,70,44,55,41,PumpkabooSuper Size
65,90,122,58,75,84,GourgeistAverage Size
55,85,122,58,75,99,GourgeistSmall Size
75,95,122,58,75,69,GourgeistLarge Size
85,100,122,58,75,54,GourgeistSuper Size
55,69,85,32,35,28,Bergmite
95,117,184,44,46,28,Avalugg
40,30,35,45,40,55,Noibat
85,70,80,97,80,123,Noivern
126,131,95,131,98,99,Xerneas
126,131,95,131,98,99,Yveltal
108,100,121,81,95,95,Zygarde50% Forme
50,100,150,100,150,50,Diancie
50,160,110,160,110,110,DiancieMega Diancie
80,110,60,150,130,70,HoopaHoopa Confined
80,160,60,170,130,80,HoopaHoopa Unbound
80,110,120,130,90,70,Volcanion
